version,opt,threads,runs,avg_guess,avg_hash,avg_train,avg_total
pthread_train_ordered,O2,8,5,0.749466,1.211836,11.826340,1.961302
pthread_train_ordered,O0,8,4,4.015060,10.249375,36.159725,14.264435
