scenario,task_count,model,workers,label,repeat,duration_seconds,throughput_tasks_per_second,peak_extra_python_threads,peak_rss_delta_mb,peak_tracemalloc_mb,completed_tasks
tcp_io,100,asyncio,,asyncio-tcp,1,0.13012420000086422,768.4965594357994,0,7.65234375,6.891741752624512,100
tcp_io,100,asyncio,,asyncio-tcp,2,0.16830800000025192,594.1488223961447,0,5.80859375,6.798290252685547,100
tcp_io,100,asyncio,,asyncio-tcp,3,0.14735579999978654,678.6295483458734,0,5.83203125,6.803116798400879,100
tcp_io,100,asyncio,,asyncio-tcp,4,0.20583579999947688,485.8241374933522,0,5.8828125,6.843997001647949,100
tcp_io,100,asyncio,,asyncio-tcp,5,0.1579700000002049,633.0315882754339,0,2.05078125,6.790068626403809,100
tcp_io,100,threads,50,threads-tcp-50,1,0.16894040000261157,591.924726107279,50,4.20703125,3.3468809127807617,100
tcp_io,100,threads,50,threads-tcp-50,2,0.1525718999982928,655.4286864168236,45,3.4453125,3.2149906158447266,100
tcp_io,100,threads,50,threads-tcp-50,3,0.12462860000232467,802.3840434549912,50,2.9765625,3.1698408126831055,100
tcp_io,100,threads,50,threads-tcp-50,4,0.12156559999857564,822.6011305926321,48,3.328125,3.017746925354004,100
tcp_io,100,threads,50,threads-tcp-50,5,0.1350800000000163,740.30204323355,50,0.8046875,3.089984893798828,100
tcp_io,100,threads,100,threads-tcp-100,1,0.1376589999999851,726.4327069062743,79,4.62109375,3.8546876907348633,100
tcp_io,100,threads,100,threads-tcp-100,2,0.13085740000315127,764.1906380349283,71,4.5,3.008707046508789,100
tcp_io,100,threads,100,threads-tcp-100,3,0.13070499999957974,765.081672470996,78,4.7734375,4.216658592224121,100
tcp_io,100,threads,100,threads-tcp-100,4,0.12758129999929224,783.8139288481522,50,3.56640625,2.9467954635620117,100
tcp_io,100,threads,100,threads-tcp-100,5,0.12959069999851636,771.6603120528315,65,3.625,3.129166603088379,100
tcp_io,100,threads,200,threads-tcp-200,1,0.11607229999935953,861.5319934260955,69,3.19921875,2.9245567321777344,100
tcp_io,100,threads,200,threads-tcp-200,2,0.13233649999892805,755.6494240123475,75,3.95703125,3.0867605209350586,100
tcp_io,100,threads,200,threads-tcp-200,3,0.11378879999756464,878.8211142233704,63,3.78515625,3.709832191467285,100
tcp_io,100,threads,200,threads-tcp-200,4,0.12359610000203247,809.0870181045806,68,4.296875,3.0510730743408203,100
tcp_io,100,threads,200,threads-tcp-200,5,0.13901480000276933,719.3478679824586,75,5.015625,4.272971153259277,100
tcp_io,500,asyncio,,asyncio-tcp,1,0.5591363999992609,894.2361828002272,0,6.05859375,6.801446914672852,500
tcp_io,500,asyncio,,asyncio-tcp,2,0.5678771999992023,880.4720457181629,0,5.8828125,6.802499771118164,500
tcp_io,500,asyncio,,asyncio-tcp,3,0.5630349999992177,888.0442601271586,0,6.01953125,6.8008832931518555,500
tcp_io,500,asyncio,,asyncio-tcp,4,0.5599894000006316,892.8740436862485,0,5.83984375,6.7989606857299805,500
tcp_io,500,asyncio,,asyncio-tcp,5,0.5357360999987577,933.2953295496783,0,5.79296875,6.798537254333496,500
tcp_io,500,threads,50,threads-tcp-50,1,0.41468370000075083,1205.7382530325997,50,4.0390625,3.6595630645751953,500
tcp_io,500,threads,50,threads-tcp-50,2,0.4624678000000131,1081.1563529395687,50,3.2109375,3.6608848571777344,500
tcp_io,500,threads,50,threads-tcp-50,3,0.39507830000002286,1265.5719132130796,50,2.9921875,3.665670394897461,500
tcp_io,500,threads,50,threads-tcp-50,4,0.41761480000059237,1197.27557548078,50,3.640625,3.6632423400878906,500
tcp_io,500,threads,50,threads-tcp-50,5,0.41277029999764636,1211.3274622782963,50,0.9609375,3.6612606048583984,500
tcp_io,500,threads,100,threads-tcp-100,1,0.3577975999978662,1397.4381046798019,100,7.38671875,6.199907302856445,500
tcp_io,500,threads,100,threads-tcp-100,2,0.3393796999989718,1473.2760975435917,100,8.37109375,6.309744834899902,500
tcp_io,500,threads,100,threads-tcp-100,3,0.34686059999876306,1441.501283229583,100,9.51171875,7.225576400756836,500
tcp_io,500,threads,100,threads-tcp-100,4,0.35041549999732524,1426.8775211251116,99,7.53515625,6.312439918518066,500
