scenario,task_count,model,workers,label,duration_seconds_avg,duration_seconds_min,duration_seconds_max,throughput_tasks_per_second,peak_tracemalloc_mb_avg,peak_python_threads_avg,completed_tasks
io_wait,100,asyncio,,asyncio,0.016428280000036467,0.009259800000108953,0.0217133000001013,6087.064500956766,0.1384798049926758,1,100
io_wait,100,threads,50,threads-50,0.04827268000017284,0.04071620000013354,0.07121750000032989,2071.5651171561626,0.3243894577026367,51,100
io_wait,100,threads,100,threads-100,0.04152971999992587,0.03947070000003805,0.043914500000028056,2407.9141395650754,0.3376798629760742,58,100
io_wait,100,threads,200,threads-200,0.04432452000010016,0.03861170000027414,0.0515650999996069,2256.0876011691503,0.33252925872802735,56.8,100
io_wait,500,asyncio,,asyncio,0.04781240000002072,0.0365404999997736,0.061905099999876256,10457.538211840094,0.7063428878784179,1,500
io_wait,500,threads,50,threads-50,0.14211358000011387,0.13697700000011537,0.15542660000028263,3518.3126060127356,1.0046916961669923,51,500
io_wait,500,threads,100,threads-100,0.1746955000001435,0.15288490000011734,0.24657840000008946,2862.1229510753815,1.0471981048583985,83,500
io_wait,500,threads,200,threads-200,0.1487319999999272,0.14498760000014954,0.1530881999997291,3361.751337978678,1.0566535949707032,85.8,500
io_wait,1000,asyncio,,asyncio,0.16265898000010565,0.13305949999994482,0.23503230000005715,6147.831493836679,1.426849937438965,1,1000
io_wait,1000,threads,50,threads-50,0.3078777999999147,0.278335099999822,0.37154310000005353,3248.041917930676,1.8539180755615234,51,1000
io_wait,1000,threads,100,threads-100,0.24177771999993639,0.2315894999996999,0.2535428999999567,4136.030400155411,1.929461669921875,101,1000
io_wait,1000,threads,200,threads-200,0.2745802800000092,0.2385351999996601,0.34957070000018575,3641.922136578659,1.899989128112793,106.4,1000
io_wait,3000,asyncio,,asyncio,0.4985480799999095,0.4452096999998503,0.5602140000000873,6017.473781065498,4.4327434539794925,1,3000
io_wait,3000,threads,50,threads-50,0.8673002199998336,0.8066635000000133,0.9382529999998042,3459.009845518747,5.304351425170898,51,3000
io_wait,3000,threads,100,threads-100,0.6544805600001382,0.6119908000000578,0.7081237000002147,4583.787790426299,5.304875183105469,101,3000
io_wait,3000,threads,200,threads-200,0.6763530600000195,0.5814489999997932,0.7736232000002019,4435.553230142721,5.201463317871093,167.4,3000
io_wait,10000,asyncio,,asyncio,1.8640338400001384,1.7223527999999533,1.9583504000001994,5364.709473299722,15.114630889892577,1,10000
io_wait,10000,threads,50,threads-50,2.9352239999999257,2.829642900000181,3.0105131999998775,3406.89501039793,17.5043025970459,51,10000
io_wait,10000,threads,100,threads-100,2.2019029600000066,2.1437200999998822,2.240551399999731,4541.526207857938,17.240446472167967,101,10000
io_wait,10000,threads,200,threads-200,2.1570089399999235,2.0721670999996604,2.3720800999999483,4636.049399035108,16.693034362792968,201,10000
cpu_bound,50,asyncio,,asyncio-cpu,1.7258235799999966,1.652009100000214,1.7941459999997278,28.971675077008797,0.04411659240722656,1,50
cpu_bound,50,threads,50,threads-cpu-50,1.7091285200001038,1.6535337000000254,1.752781000000141,29.254675359344517,0.11386432647705078,13.2,50
cpu_bound,50,threads,100,threads-cpu-100,1.6473380399999769,1.538167600000179,1.754709300000286,30.351997456454477,0.11197776794433593,12.6,50
cpu_bound,50,threads,200,threads-cpu-200,1.691816540000127,1.6468401000001904,1.733624299999974,29.55403190466281,0.11540718078613281,13.4,50
cpu_bound,100,asyncio,,asyncio-cpu,3.4358094999998685,3.202560100000028,3.5971919999997226,29.105222510154835,0.0776784896850586,1,100
cpu_bound,100,threads,50,threads-cpu-50,3.3731180600000696,3.204463300000043,3.54483590000018,29.646160680186195,0.21868247985839845,20.6,100
cpu_bound,100,threads,100,threads-cpu-100,3.342805219999991,3.21733630000017,3.4292899000001853,29.91499456854392,0.21427631378173828,19.6,100
cpu_bound,100,threads,200,threads-cpu-200,3.381932680000136,3.3069727000001876,3.482560100000228,29.568891359480276,0.2112142562866211,18.8,100
cpu_bound,200,asyncio,,asyncio-cpu,6.810965359999955,6.660879499999737,6.972801700000218,29.36441303527659,0.1586088180541992,1,200
cpu_bound,200,threads,50,threads-cpu-50,6.695983100000012,6.443850399999974,6.941734500000166,29.868653641016454,0.39643268585205077,27.4,200
cpu_bound,200,threads,100,threads-cpu-100,6.995440539999981,6.752384200000051,7.628919399999631,28.590050741822264,0.4060159683227539,30.2,200
cpu_bound,200,threads,200,threads-cpu-200,7.09272949999995,6.826364500000182,7.436698399999841,28.197889120119612,0.39832363128662107,28,200
